ID,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Default
497,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,0
498,40,male,2,own,little,,1585,24,furniture/equipment,1
499,32,male,1,own,little,moderate,1301,18,radio/TV,1
500,28,male,2,own,moderate,rich,1323,6,car,1
501,27,female,2,own,little,little,3123,24,car,0
502,42,male,2,free,little,little,5493,36,car,1
503,49,male,2,own,moderate,rich,1126,9,radio/TV,1
504,38,male,2,own,moderate,moderate,1216,24,radio/TV,0
505,24,female,2,rent,little,little,1207,24,car,0
506,27,male,1,own,,,1309,10,car,0
507,36,male,2,own,quite rich,rich,2360,15,car,1
508,34,male,3,own,moderate,moderate,6850,15,car,0
509,28,male,2,own,little,,1413,24,radio/TV,1
510,45,male,3,own,moderate,,8588,39,car,1
511,26,male,2,own,little,little,759,12,car,0
512,32,male,3,free,little,,4686,36,car,1
513,26,male,2,rent,little,rich,2687,15,business,1
514,20,male,2,rent,little,moderate,585,12,radio/TV,1
515,54,male,2,own,,,2255,24,car,1
516,37,female,2,own,little,little,609,6,car,1
517,40,male,1,own,little,little,1361,6,car,1
518,23,female,2,rent,little,,7127,36,furniture/equipment,0
519,43,male,2,own,moderate,little,1203,6,car,1
520,36,male,2,free,,,700,6,radio/TV,1
521,44,male,2,free,little,,5507,24,repairs,1
522,24,female,2,own,little,little,3190,18,radio/TV,0
523,53,male,2,free,little,little,7119,48,furniture/equipment,0
524,23,female,2,own,moderate,,3488,24,car,1
525,26,female,1,own,little,moderate,1113,18,radio/TV,1
526,30,male,2,own,little,moderate,7966,26,car,1
527,31,female,2,own,moderate,,1532,15,education,1
528,42,male,1,own,little,,1503,4,radio/TV,1
529,31,male,2,rent,little,little,2302,36,radio/TV,0
530,41,male,1,own,little,little,662,6,car,1
531,32,male,2,own,little,moderate,2273,36,education,1
532,28,female,2,rent,moderate,moderate,2631,15,car,0
533,41,male,2,rent,little,,1503,12,car,1
534,26,male,2,own,moderate,,1311,24,radio/TV,1
535,25,male,2,own,,,3105,24,radio/TV,1
536,33,male,2,rent,little,rich,2319,21,education,0
537,75,female,3,own,,little,1374,6,car,1
538,37,female,2,own,little,moderate,3612,18,furniture/equipment,1
539,42,male,3,free,little,little,7763,48,car,0
540,45,female,1,own,little,rich,3049,18,furniture/equipment,1
541,23,male,2,rent,little,moderate,1534,12,radio/TV,0
542,60,male,2,free,little,,2032,24,car,1
543,31,male,2,own,,little,6350,30,furniture/equipment,0
544,34,male,1,own,little,rich,2864,18,furniture/equipment,0
545,61,male,1,own,little,,1255,12,car,1
546,43,male,2,free,little,little,1333,24,car,0
547,37,female,2,own,little,,2022,24,car,1
548,32,male,2,own,little,,1552,24,radio/TV,1
549,24,female,1,own,little,little,626,12,radio/TV,0
550,35,male,2,free,,,8858,48,car,1
551,23,female,2,own,,,996,12,repairs,1
552,45,male,1,own,quite rich,,1750,6,radio/TV,1
553,34,male,2,own,little,little,6999,48,radio/TV,0
554,27,male,2,own,moderate,moderate,1995,12,car,1
555,67,female,3,own,little,moderate,1199,9,education,1
556,22,male,2,own,little,moderate,1331,12,radio/TV,0
557,28,female,2,own,moderate,moderate,2278,18,car,0
558,29,female,2,own,,,5003,21,car,0
559,27,male,2,own,little,little,3552,24,furniture/equipment,0
560,31,male,1,own,little,moderate,1928,18,furniture/equipment,0
561,49,male,2,free,,little,2964,24,car,1
562,24,male,1,rent,little,little,1546,24,radio/TV,0
563,29,female,2,own,little,rich,683,6,radio/TV,1
564,37,male,2,free,,moderate,12389,36,car,0
565,37,male,3,own,,moderate,4712,24,business,1
566,23,female,2,rent,moderate,moderate,1553,24,radio/TV,1
567,36,male,2,own,little,little,1372,12,car,0
568,34,male,2,own,rich,,2578,24,radio/TV,1
569,41,male,2,own,,moderate,3979,48,radio/TV,1
570,31,female,2,own,little,little,6758,48,radio/TV,0
571,23,female,1,rent,little,little,3234,24,furniture/equipment,0
572,38,male,2,own,little,,5954,30,radio/TV,1
573,26,female,3,rent,,,5433,24,car,1
574,22,female,1,own,little,little,806,15,business,1
575,27,male,1,own,little,moderate,1082,9,radio/TV,1
576,24,female,2,own,little,,2788,15,furniture/equipment,1
577,27,female,2,own,little,moderate,2930,12,radio/TV,1
578,33,female,2,own,,,1927,24,education,1
579,27,male,2,own,little,moderate,2820,36,car,0
580,27,male,1,own,little,,937,24,education,1
581,30,male,2,own,little,moderate,1056,18,car,0
582,49,male,1,own,little,moderate,3124,12,car,1
583,26,female,2,rent,little,,1388,9,furniture/equipment,1
584,33,male,1,rent,little,moderate,2384,36,repairs,0
585,52,female,3,free,,,2133,12,car,1
586,20,female,2,rent,little,little,2039,18,furniture/equipment,0
587,36,male,2,rent,little,little,2799,9,car,1
588,21,male,1,own,little,little,1289,12,furniture/equipment,1
589,47,male,1,own,little,little,1217,18,domestic appliances,0
590,60,male,2,own,little,little,2246,12,furniture/equipment,0
591,58,female,1,own,little,little,385,12,radio/TV,1
592,42,female,2,rent,,moderate,1965,24,car,1
593,36,female,1,own,rich,,1572,21,business,1
594,20,female,1,rent,little,moderate,2718,24,car,0
595,40,male,3,own,,little,1358,24,vacation/others,0
596,32,female,1,own,moderate,moderate,931,6,car,0
597,23,female,2,rent,little,little,1442,24,car,0
598,36,male,1,own,little,moderate,4241,24,business,0
599,31,male,2,own,little,,2775,18,car,0
600,32,male,2,free,little,,3863,24,business,1
601,45,female,2,own,little,moderate,2329,7,radio/TV,1
602,30,female,2,own,little,moderate,918,9,furniture/equipment,0
603,34,female,1,free,little,moderate,1837,24,education,0
604,28,female,3,own,little,,3349,36,furniture/equipment,0
605,23,female,2,own,little,rich,1275,10,furniture/equipment,1
606,22,male,2,own,quite rich,little,2828,24,furniture/equipment,1
607,74,male,3,own,little,,4526,24,business,1
608,50,female,2,free,moderate,moderate,2671,36,radio/TV,0
609,33,male,2,own,little,,2051,18,radio/TV,1
610,45,male,2,free,,,1300,15,car,1
611,22,female,2,own,moderate,little,741,12,domestic appliances,0
612,48,female,1,free,moderate,rich,1240,10,car,0
613,29,female,2,own,rich,little,3357,21,radio/TV,1
614,22,female,2,rent,little,little,3632,24,car,1
615,22,female,2,own,little,,1808,18,furniture/equipment,0
616,48,male,3,own,,moderate,12204,48,business,1
617,27,male,3,free,,moderate,9157,60,radio/TV,1
618,37,male,2,rent,little,little,3676,6,car,1
619,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,0
620,49,male,1,own,little,,640,12,car,1
621,27,male,2,own,little,moderate,3652,21,business,1
622,32,male,2,own,little,,1530,18,car,0
623,38,male,2,own,,,3914,48,business,0
624,22,female,2,rent,little,little,1858,12,furniture/equipment,1
625,65,male,2,free,little,little,2600,18,radio/TV,0
626,35,male,2,own,,,1979,15,radio/TV,1
627,41,male,2,own,little,rich,2116,6,furniture/equipment,1
628,29,male,2,own,moderate,moderate,1437,9,car,0
629,36,male,2,own,quite rich,,4042,42,furniture/equipment,1
630,64,male,1,own,,,3832,9,education,1
631,28,female,2,own,little,little,3660,24,radio/TV,1
632,44,male,2,own,little,little,1553,18,furniture/equipment,0
633,23,male,2,own,,moderate,1444,15,radio/TV,1
634,19,female,2,rent,little,,1980,9,furniture/equipment,0
635,25,female,1,own,little,moderate,1355,24,car,0
636,47,male,2,own,little,,1393,12,education,1
637,28,female,2,own,quite rich,,1376,24,radio/TV,1
638,21,male,2,own,little,,15653,60,radio/TV,1
639,34,female,2,own,little,,1493,12,radio/TV,1
640,26,male,2,own,little,little,4370,42,radio/TV,0
641,27,female,0,own,little,little,750,18,education,0
642,38,male,1,own,little,moderate,1308,15,repairs,1
643,40,male,3,own,moderate,,4623,15,education,0
644,33,male,2,own,little,,1851,24,radio/TV,1
645,32,male,3,own,little,little,1880,18,radio/TV,1
646,27,male,2,rent,,,7980,36,business,0
647,32,male,2,own,little,little,4583,30,furniture/equipment,1
648,26,female,2,own,quite rich,,1386,12,car,0
649,38,male,2,free,little,rich,947,24,car,0
650,40,male,1,rent,little,little,684,12,education,0
651,50,male,3,free,little,little,7476,48,education,1
652,37,male,1,own,little,moderate,1922,12,furniture/equipment,0
653,45,male,2,own,little,little,2303,24,car,0
654,42,male,3,own,moderate,moderate,8086,36,car,0
655,35,male,2,own,little,,2346,24,car,1
656,22,male,2,free,little,little,3973,14,car,1
657,41,male,1,own,little,moderate,888,12,car,0
658,37,male,2,own,,,10222,48,radio/TV,1
659,28,female,2,own,little,moderate,4221,30,business,1
660,41,male,2,own,little,moderate,6361,18,furniture/equipment,1
661,23,male,2,rent,little,rich,1297,12,radio/TV,1
662,23,male,2,own,,little,900,12,car,0
663,50,male,2,own,little,,2241,21,furniture/equipment,1
664,35,male,3,own,little,moderate,1050,6,furniture/equipment,1
665,50,female,1,own,little,rich,1047,6,education,1
666,27,male,3,own,little,,6314,24,vacation/others,1
667,34,male,2,own,rich,moderate,3496,30,furniture/equipment,1
668,27,female,2,own,little,,3609,48,business,1
669,43,male,2,rent,little,little,4843,12,car,0
670,47,male,2,own,little,rich,3017,30,radio/TV,1
671,27,male,1,own,moderate,,4139,24,business,1
672,31,male,2,own,moderate,,5742,36,business,1
673,42,male,3,own,little,,10366,60,car,1
674,24,male,2,own,quite rich,,2080,6,car,1
675,41,male,1,own,quite rich,,2580,21,business,0
676,26,female,3,rent,little,,4530,30,radio/TV,1
677,33,male,2,own,little,,5150,24,furniture/equipment,1
678,24,male,2,own,moderate,moderate,5595,72,radio/TV,0
679,64,male,1,rent,little,little,2384,24,radio/TV,1
680,26,female,2,own,little,,1453,18,radio/TV,1
681,56,female,2,own,little,,1538,6,education,1
682,37,male,2,free,,,2279,12,radio/TV,1
683,33,male,2,own,little,,1478,15,radio/TV,1
684,47,male,2,free,little,,5103,24,radio/TV,1
685,31,male,1,own,moderate,moderate,9857,36,business,1
686,34,male,2,free,,,6527,60,car,1
687,27,male,2,own,,rich,1347,10,radio/TV,1
688,30,male,2,free,moderate,moderate,2862,36,car,1
689,35,male,2,own,moderate,,2753,9,radio/TV,1
690,31,male,2,own,rich,little,3651,12,car,1
691,25,male,2,own,little,little,975,15,furniture/equipment,1
692,25,female,1,own,moderate,moderate,2631,15,repairs,1
693,29,male,2,own,moderate,moderate,2896,24,radio/TV,1
694,44,male,1,own,,little,4716,6,car,1
695,28,male,2,own,little,,2284,24,radio/TV,1
696,50,male,2,rent,quite rich,,1236,6,car,1
697,29,male,2,own,little,moderate,1103,12,radio/TV,1
698,38,female,0,own,little,,926,12,car,1
699,24,male,2,own,little,,1800,18,radio/TV,1
700,40,male,3,rent,little,rich,1905,15,education,1
701,29,female,1,rent,quite rich,,1123,12,furniture/equipment,0
702,46,male,2,free,little,little,6331,48,car,0
703,47,female,2,free,moderate,rich,1377,24,radio/TV,1
704,41,male,2,own,moderate,moderate,2503,30,business,1
705,32,female,2,own,little,moderate,2528,27,business,1
706,35,female,2,free,quite rich,,5324,15,car,1
707,24,male,2,own,moderate,moderate,6560,48,car,0
708,25,female,2,rent,little,moderate,2969,12,furniture/equipment,0
709,25,female,2,own,little,moderate,1206,9,radio/TV,1
710,37,male,1,own,little,moderate,2118,9,radio/TV,1
711,32,male,3,own,quite rich,,629,18,radio/TV,1
712,35,female,2,free,little,little,1198,6,education,0
713,46,male,3,own,,,2476,21,car,1
714,25,male,1,own,little,little,1138,9,radio/TV,1
715,27,male,3,own,little,moderate,14027,60,car,0
716,63,male,2,own,,,7596,30,car,1
717,40,male,2,own,,,3077,30,radio/TV,1
718,32,male,3,free,little,,1505,18,radio/TV,1
719,31,male,2,own,,rich,3148,24,radio/TV,1
720,31,male,2,own,moderate,moderate,6148,20,car,1
721,34,male,3,own,little,rich,1337,9,radio/TV,0
722,24,female,2,rent,rich,moderate,433,6,education,0
723,24,female,1,own,little,little,1228,12,car,0
724,66,female,1,own,quite rich,moderate,790,9,radio/TV,1
725,21,female,2,rent,little,,2570,27,car,0
726,41,female,1,own,rich,,250,6,car,1
727,47,male,1,own,quite rich,,1316,15,radio/TV,1
728,25,female,2,rent,little,little,1882,18,radio/TV,0
729,59,female,2,rent,little,moderate,6416,48,business,0
730,36,male,2,own,rich,rich,1275,24,business,1
731,33,male,2,own,little,moderate,6403,24,radio/TV,1
732,21,male,1,rent,little,little,1987,24,radio/TV,0
733,44,female,1,own,little,moderate,760,8,radio/TV,1
734,28,female,2,rent,rich,,2603,24,car,1
735,37,female,2,own,little,,3380,4,car,1
736,29,female,0,own,,moderate,3990,36,domestic appliances,1
737,23,female,3,rent,little,moderate,11560,24,car,0
738,35,male,1,own,moderate,little,4380,18,car,1
739,45,male,3,own,little,,6761,6,car,1
740,26,female,1,rent,moderate,moderate,4280,30,business,0
741,32,male,2,own,moderate,little,2325,24,car,1
742,23,male,1,own,little,moderate,1048,10,radio/TV,1
743,41,male,2,own,,,3160,21,radio/TV,1
744,22,male,2,own,quite rich,little,2483,24,furniture/equipment,1
745,30,male,3,own,,little,14179,39,furniture/equipment,1
746,28,male,1,own,little,little,1797,13,business,1
747,23,female,2,rent,little,little,2511,15,car,1
748,37,female,1,own,little,little,1274,12,car,0
749,26,male,2,own,,,5248,21,car,1
750,33,male,2,own,little,,3029,15,car,1
751,49,female,2,own,little,little,428,6,furniture/equipment,1
752,23,female,1,own,little,little,976,18,car,0
753,23,female,1,rent,moderate,moderate,841,12,business,1
754,25,female,2,own,little,,5771,30,radio/TV,1
755,55,male,2,free,rich,,1555,12,repairs,0
756,32,female,2,rent,,little,1285,24,car,0
757,74,male,0,own,little,rich,1299,6,car,1
758,39,male,2,free,,rich,1271,15,radio/TV,0
759,31,male,2,own,little,,1393,24,car,1
760,35,male,2,own,little,little,691,12,car,0
761,59,female,2,own,,,5045,15,car,1
762,24,female,2,rent,little,little,2124,18,furniture/equipment,0
763,24,male,1,own,little,little,2214,12,radio/TV,1
764,30,male,3,free,,,12680,21,car,0
765,27,male,2,own,moderate,,2463,24,car,1
766,40,male,1,own,little,moderate,1155,12,radio/TV,1
767,31,male,1,own,little,little,3108,30,furniture/equipment,0
768,31,female,2,rent,,,2901,10,car,1
769,28,male,2,rent,little,moderate,3617,12,furniture/equipment,1
770,63,male,1,own,little,,1655,12,radio/TV,1
771,26,female,2,rent,,little,2812,24,car,1
772,25,female,3,own,little,little,8065,36,education,0
773,36,male,3,own,little,,3275,21,car,1
774,52,male,2,own,moderate,,2223,24,radio/TV,1
775,66,male,0,free,quite rich,rich,1480,12,car,1
776,25,female,2,rent,,little,1371,24,car,0
777,37,male,2,own,little,,3535,36,car,1
778,25,female,2,own,little,little,3509,18,radio/TV,1
779,38,male,3,own,rich,,5711,36,car,1
780,67,female,2,own,little,moderate,3872,18,repairs,1
781,25,male,2,own,little,moderate,4933,39,radio/TV,0
782,60,male,2,own,rich,,1940,24,car,1
783,31,male,1,own,little,moderate,1410,12,education,1
784,23,female,1,own,moderate,moderate,836,12,car,0
785,60,male,3,own,,moderate,6468,20,car,1
786,35,male,1,own,rich,moderate,1941,18,business,1
787,40,male,2,own,quite rich,,2675,22,radio/TV,1
788,38,male,2,own,,,2751,48,car,1
789,50,male,2,free,little,moderate,6224,48,education,0
790,27,male,2,own,little,little,5998,40,education,0
791,39,female,2,own,little,moderate,1188,21,business,0
792,41,male,3,own,,,6313,24,car,1
793,27,male,2,own,,,1221,6,furniture/equipment,1
794,51,male,2,free,little,rich,2892,24,furniture/equipment,1
795,32,male,2,rent,quite rich,,3062,24,furniture/equipment,1
796,22,female,2,rent,moderate,,2301,9,furniture/equipment,1
797,51,male,2,free,,little,7511,18,car,0
798,22,female,1,rent,little,,1258,12,furniture/equipment,1
799,54,male,2,own,,,717,24,car,1
800,35,male,0,own,,moderate,1549,9,car,1
801,54,male,2,free,little,,1597,24,education,1
802,48,female,1,rent,little,moderate,1795,18,radio/TV,1
803,24,female,2,own,little,little,4272,20,furniture/equipment,1
804,35,male,2,own,,,976,12,radio/TV,1
805,24,female,0,rent,,moderate,7472,12,car,1
806,24,male,2,own,little,little,9271,36,car,0
807,26,male,1,own,little,moderate,590,6,radio/TV,1
808,65,male,2,own,,,930,12,radio/TV,1
809,55,male,3,free,little,moderate,9283,42,car,1
810,26,female,0,rent,little,moderate,1778,15,car,0
811,26,male,2,own,little,moderate,907,8,business,1
812,28,male,1,own,little,moderate,484,6,radio/TV,1
813,24,male,2,own,little,little,9629,36,car,0
814,54,male,2,own,little,little,3051,48,domestic appliances,0
815,46,male,2,free,little,little,3931,48,car,0
816,54,female,2,rent,little,moderate,7432,36,car,1
817,62,male,2,own,quite rich,,1338,6,domestic appliances,1
818,24,female,2,rent,little,,1554,6,radio/TV,1
819,43,male,3,own,little,little,15857,36,vacation/others,1
820,26,male,2,own,little,little,1345,18,radio/TV,0
821,27,male,2,own,little,,1101,12,car,1
822,24,male,2,own,little,rich,3016,12,radio/TV,1
823,41,male,2,own,little,little,2712,36,furniture/equipment,0
824,47,male,1,own,little,little,731,8,car,1
825,35,male,3,own,little,,3780,18,furniture/equipment,1
826,30,male,2,own,little,little,1602,21,car,1
827,33,female,2,rent,little,little,3966,18,car,0
828,36,male,2,own,little,,4165,18,business,0
829,47,male,2,free,,little,8335,36,car,0
830,38,male,2,free,,moderate,6681,48,business,1
831,44,male,2,own,quite rich,,2375,24,business,1
832,23,female,2,rent,little,little,1216,18,car,0
833,29,male,2,rent,little,little,11816,45,business,0
834,42,female,2,own,,moderate,5084,24,radio/TV,1
835,25,female,1,own,little,rich,2327,15,radio/TV,0
836,48,male,2,own,little,little,1082,12,car,0
837,21,female,2,own,,,886,12,radio/TV,1
838,23,female,1,rent,little,,601,4,furniture/equipment,1
839,63,male,2,own,little,little,2957,24,car,1
840,46,male,2,own,little,,2611,24,radio/TV,1
841,29,male,2,own,little,little,5179,36,furniture/equipment,0
842,28,male,1,own,little,,2993,21,car,1
843,23,female,2,own,little,,1943,18,repairs,0
844,50,male,2,own,little,,1559,24,business,1
845,47,male,2,own,little,,3422,18,furniture/equipment,1
846,35,male,2,own,,moderate,3976,21,furniture/equipment,1
847,68,male,2,rent,,,6761,18,car,0
848,28,male,2,own,little,,1249,24,car,1
849,59,male,2,own,little,little,1364,9,radio/TV,1
850,57,male,1,own,little,little,709,12,radio/TV,0
851,33,male,2,rent,little,little,2235,20,car,0
852,43,male,2,own,,,4042,24,car,1
853,35,male,2,free,little,,1471,15,radio/TV,1
854,32,male,1,free,little,little,1442,18,car,0
855,45,male,2,own,little,,10875,36,car,1
856,33,male,2,own,moderate,,1474,24,car,1
857,40,female,2,own,,,894,10,education,1
858,28,male,2,free,little,,3343,15,furniture/equipment,1
859,29,female,2,own,little,little,3959,15,car,0
860,26,male,2,rent,moderate,,3577,9,car,1
861,27,male,2,own,rich,,5804,24,car,1
862,28,male,2,own,little,,2169,18,business,0
863,35,female,2,own,little,little,2439,24,radio/TV,0
864,32,male,1,own,rich,,4526,27,furniture/equipment,1
865,25,male,1,rent,little,,2210,10,furniture/equipment,0
866,20,female,2,rent,quite rich,,2221,15,furniture/equipment,1
867,27,female,2,own,little,little,2389,18,radio/TV,1
868,42,male,2,own,little,,3331,12,furniture/equipment,1
869,37,male,2,own,,,7409,36,business,1
870,24,female,2,rent,little,little,652,12,furniture/equipment,1
871,40,female,2,own,quite rich,,7678,36,furniture/equipment,1
872,46,male,2,own,little,rich,1343,6,car,1
873,26,male,2,own,moderate,little,1382,24,business,1
874,24,female,2,own,,,874,15,domestic appliances,1
875,29,male,1,own,little,little,3590,12,furniture/equipment,1
876,40,female,2,own,rich,moderate,1322,11,car,1
877,36,male,3,free,little,little,1940,18,radio/TV,1
878,28,male,2,own,little,,3595,36,radio/TV,1
879,27,male,3,free,little,little,1422,9,car,0
880,36,male,2,own,,,6742,30,radio/TV,1
881,38,male,3,own,little,,7814,24,car,1
882,48,male,2,free,,,9277,24,car,1
883,36,male,2,own,,moderate,2181,30,car,1
884,65,female,0,own,little,,1098,18,radio/TV,1
885,43,male,2,own,little,moderate,4057,24,furniture/equipment,0
886,53,female,2,own,little,little,795,12,education,0
887,34,male,2,own,,moderate,2825,24,business,1
888,23,male,2,own,little,moderate,15672,48,business,0
889,34,male,3,own,little,,6614,36,car,1
890,40,male,2,rent,,,7824,28,car,1
891,43,male,3,own,little,little,2442,27,business,1
892,46,male,2,own,little,,1829,15,radio/TV,1
893,38,male,1,own,little,little,2171,12,car,1
894,34,male,2,own,little,moderate,5800,36,car,1
895,29,male,2,own,,,1169,18,radio/TV,1
896,31,male,3,own,,,8947,36,car,1
897,28,female,3,rent,little,little,2606,21,radio/TV,1
898,35,female,2,own,rich,,1592,12,furniture/equipment,1
899,33,female,1,rent,,,2186,15,furniture/equipment,1
900,42,male,2,own,little,little,4153,18,furniture/equipment,0
901,43,male,2,rent,little,little,2625,16,car,0
902,44,male,2,own,,,3485,20,car,1
903,42,male,2,free,,,10477,36,car,1
904,40,male,2,rent,,,1386,15,radio/TV,1
905,36,male,3,own,little,,1278,24,radio/TV,1
906,20,male,3,rent,little,little,1107,12,radio/TV,1
907,24,male,1,own,,little,3763,21,car,1
908,27,male,2,own,,moderate,3711,36,education,1
909,46,female,1,own,little,,3594,15,car,1
910,33,female,1,own,,moderate,3195,9,car,1
911,34,female,2,own,little,,4454,36,radio/TV,1
912,25,female,1,own,little,moderate,4736,24,furniture/equipment,0
913,25,female,2,own,,moderate,2991,30,radio/TV,1
914,28,male,2,own,rich,,2142,11,business,1
915,31,male,2,rent,little,little,3161,24,business,0
916,32,female,3,own,little,moderate,18424,48,vacation/others,0
917,32,male,2,own,moderate,,2848,10,car,1
918,68,male,3,own,little,little,14896,6,car,0
919,33,male,2,own,moderate,little,2359,24,furniture/equipment,0
920,39,male,3,rent,little,little,3345,24,furniture/equipment,0
921,28,female,2,own,little,,1817,18,furniture/equipment,1
922,37,male,3,own,quite rich,,12749,48,radio/TV,1
923,22,female,2,rent,little,little,1366,9,radio/TV,0
924,30,male,2,rent,little,moderate,2002,12,car,1
925,55,male,2,own,little,little,6872,24,furniture/equipment,0
926,46,male,2,own,little,little,697,12,car,0
927,21,female,2,rent,little,little,1049,18,furniture/equipment,1
928,39,male,2,free,little,little,10297,48,car,0
929,58,male,2,own,,,1867,30,radio/TV,1
930,43,male,1,own,little,little,1344,12,car,1
931,24,male,1,own,little,little,1747,24,furniture/equipment,1
932,22,female,2,own,little,moderate,1670,9,radio/TV,0
933,30,male,2,own,little,,1224,9,car,1
934,42,male,2,own,quite rich,,522,12,radio/TV,1
935,23,female,2,own,little,little,1498,12,radio/TV,1
936,30,male,3,own,moderate,moderate,1919,30,radio/TV,0
937,28,female,1,own,little,rich,745,9,radio/TV,0
938,30,male,3,rent,little,moderate,2063,6,radio/TV,1
939,42,male,2,free,little,moderate,6288,60,education,0
940,46,male,3,own,,,6842,24,car,1
941,45,male,3,own,,,3527,12,car,1
942,31,male,1,own,little,,1546,10,car,1
943,31,male,2,own,,,929,24,furniture/equipment,1
944,42,male,1,own,little,,1455,4,car,1
945,46,female,2,rent,little,little,1845,15,furniture/equipment,1
946,30,female,2,own,quite rich,moderate,8358,48,car,1
947,30,male,2,free,quite rich,little,3349,24,furniture/equipment,0
948,38,male,3,own,,,2859,12,car,1
949,43,male,1,own,little,,1533,18,furniture/equipment,0
950,31,male,2,own,moderate,,3621,24,radio/TV,0
951,40,male,0,own,little,moderate,3590,18,business,1
952,24,male,2,own,little,little,2145,36,business,0
953,28,female,2,rent,quite rich,moderate,4113,24,car,0
954,26,female,3,own,little,,10974,36,furniture/equipment,0
955,29,female,2,own,little,little,1893,12,car,1
956,57,female,3,rent,rich,little,1231,24,radio/TV,1
957,49,male,1,own,,rich,3656,30,radio/TV,1
958,37,male,1,own,little,moderate,1154,9,radio/TV,1
959,45,male,1,own,little,little,4006,28,car,0
960,30,male,2,free,moderate,moderate,3069,24,furniture/equipment,1
961,30,male,2,rent,little,,1740,6,radio/TV,1
962,47,male,2,own,little,moderate,2353,21,car,1
963,29,male,2,own,,,3556,15,car,1
964,35,male,2,own,quite rich,,2397,24,radio/TV,0
965,22,male,1,own,little,moderate,454,6,repairs,1
966,26,female,2,own,,moderate,1715,30,radio/TV,1
967,23,male,1,own,quite rich,moderate,2520,27,radio/TV,0
968,54,female,3,rent,little,,3568,15,radio/TV,1
969,29,male,2,rent,,,7166,42,radio/TV,1
970,40,male,1,own,little,little,3939,11,car,1
971,22,male,2,own,moderate,moderate,1514,15,repairs,1
972,43,male,1,own,little,,7393,24,car,1
973,29,female,0,rent,little,little,1193,24,car,0
974,36,male,2,rent,little,little,7297,60,business,0
975,33,female,2,own,little,,2831,30,radio/TV,1
976,57,female,1,own,quite rich,rich,1258,24,radio/TV,1
977,64,female,2,own,little,moderate,753,6,radio/TV,1
978,42,male,2,own,,moderate,2427,18,business,1
979,47,male,1,own,little,,2538,24,car,0
980,25,male,2,rent,moderate,moderate,1264,15,car,0
981,49,male,2,own,little,moderate,8386,30,furniture/equipment,0
982,33,male,3,rent,little,,4844,48,business,0
983,28,female,3,own,moderate,rich,2923,21,car,1
984,26,male,2,own,little,little,8229,36,car,0
985,30,male,1,own,little,,2028,24,furniture/equipment,1
986,25,female,2,rent,little,little,1433,15,furniture/equipment,1
987,33,male,2,own,little,rich,6289,42,business,1
988,64,female,2,own,moderate,,1409,13,radio/TV,1
989,29,male,3,free,little,little,6579,24,car,1
990,48,male,1,own,little,moderate,1743,24,radio/TV,1
991,37,male,1,own,,,3565,12,education,1
992,34,male,1,own,moderate,,1569,15,radio/TV,1
993,23,male,1,rent,,little,1936,18,radio/TV,1
994,30,male,3,own,little,little,3959,36,furniture/equipment,1
995,50,male,2,own,,,2390,12,car,1
996,31,female,1,own,little,,1736,12,furniture/equipment,1
997,40,male,3,own,little,little,3857,30,car,1
998,38,male,2,own,little,,804,12,radio/TV,1
999,23,male,2,free,little,little,1845,45,radio/TV,0
1000,27,male,2,own,moderate,moderate,4576,45,car,1
